y,x,z,d
3.021255231,0.185,6.31901,161.5
3.019410401,-0.135,6.367795,162.5
3.019410401,-1.07,6.416625,163.5
2.917845735,-1.34,6.468065,164.5
2.918030766,-0.7,6.52211,165.5
2.989551414,-0.465,6.574285,166.5
2.989551414,-0.635,6.624595,167.5
3.01471124,-0.14,6.67428,168.5
3.014915093,0.37,6.723335,169.5
3.025779195,0.005,6.77212,170.5
3.025985317,-0.6,6.820635,171.5
2.936520414,-1.06,6.871415,172.5
2.936708933,-1.21,6.92446,173.5
2.951906794,-0.86,6.9771,174.5
2.951906794,-0.585,7.02934,175.5
2.953631098,-0.82,7.081535,176.5
2.95382287,-1.125,7.13368,177.5
2.945609664,-0.915,7.186035,178.5
2.94541946,-0.305,7.23861,179.5
3.017568968,-0.01,7.28936,180.5
3.017773404,-0.075,7.338275,181.5
3.001348012,-0.2,7.38759,182.5
3.001549159,-0.55,7.437305,183.5
2.959207499,-0.695,7.48809,184.5
2.959400344,-0.28,7.539945,185.5
3.014507429,-0.005,7.590405,186.5
3.01471124,0.225,7.63947,187.5
3.031981406,0.23,7.68811,188.5
3.031981406,0,7.73633,189.5
3.010439902,-0.01,7.785075,190.5
3.01023696,-0.38,7.83435,191.5
2.957666073,-0.645,7.88496,192.5
2.957473561,-0.735,7.936905,193.5
2.934260951,-0.915,7.989465,194.5
2.934072893,-0.81,8.04264,195.5
2.957858621,-0.615,8.095195,196.5
2.957858621,-0.59,8.147125,197.5
2.994133552,-0.17,8.19813,198.5
2.993933892,1.18,8.248215,199.5
3.116544894,1.325,8.295415,200.5
3.116544894,-0.14,8.339725,201.5
2.938218367,-0.825,8.38836,202.5
2.938407207,-0.665,8.441315,203.5
2.974949734,-0.38,8.493315,204.5
2.97514564,-0.235,8.54436,205.5
2.974362248,-0.39,8.59542,206.5
2.974362248,-0.585,8.6465,207.5
2.951524019,-0.665,8.69817,208.5
2.951715388,-0.705,8.750425,209.5
2.953631098,-0.645,8.802625,210.5
2.95382287,-0.11,8.85477,211.5
3.025985317,0.235,8.905095,212.5
3.026191481,-0.34,8.9536,213.5
2.952098237,-0.67,9.003965,214.5
2.952289716,-0.535,9.05619,215.5
2.949421371,-0.71,9.108485,216.5
2.949612338,-0.68,9.16085,217.5
2.972015747,-0.445,9.21263,218.5
2.972211079,-0.505,9.263825,219.5
2.963458713,-0.555,9.31524,220.5
2.963458713,-0.32,9.36688,221.5
3.015526901,0.065,9.41721,222.5
3.015322923,0.145,9.466235,223.5
2.996132354,-0.18,9.51574,224.5
2.995932294,-0.605,9.565725,225.5
2.94923044,-0.76,9.61691,226.5
2.949039546,-0.43,9.669295,227.5
2.999138067,-0.16,9.720405,228.5
2.999138067,0.135,9.770235,229.5
3.051667906,0.47,9.81879,230.5
3.051667906,0.025,9.86607,231.5
