y,x,z,d
3.448860908,-0.94,2.33821,95.425
3.312188002,-1.73,2.35697,95.975
3.312687129,-1.02,2.377005,96.525
3.312188002,-0.73,2.39704,97.075
3.366005753,-0.885,2.416555,97.625
3.366005753,-1.455,2.435545,98.175
3.366005753,-1.375,2.454535,98.725
3.36864219,-0.39,2.4735,99.275
3.36864219,-0.325,2.49244,99.825
3.368114347,-0.64,2.511385,100.375
3.421214577,-0.235,2.529845,100.925
3.420658249,-0.145,2.54782,101.475
3.420658249,0.235,2.5658,102.025
3.433532762,0.405,2.583665,102.575
3.434096301,0.2,2.60141,103.125
3.433532762,-0.13,2.619155,103.675
3.448288989,-0.2,2.636775,104.225
3.448860908,0.61,2.65426,104.775
3.448288989,0.47,2.671745,105.325
3.412350253,-0.05,2.689555,105.875
3.412350253,-0.375,2.707685,106.425
3.411798834,-0.38,2.72582,106.975
3.433532762,-0.54,2.743765,107.525
3.432969541,0.205,2.76152,108.075
3.433532762,1.09,2.779275,108.625
3.48675527,0.85,2.796565,109.175
3.486161269,0.86,2.8134,109.725
3.48675527,0.46,2.830235,110.275
3.496907641,0.665,2.84698,110.825
3.496307581,1.22,2.863645,111.375
3.496907641,1.12,2.88031,111.925
3.413454006,0.58,2.897695,112.475
3.413454006,-0.3,2.915805,113.025
3.413454006,-0.82,2.933915,113.575
3.415111923,-0.215,2.95201,114.125
3.415665174,0.43,2.970085,114.675
3.415111923,-0.025,2.98816,115.225
3.364953122,-0.625,3.006705,115.775
3.364427221,-0.46,3.02572,116.325
3.364427221,-0.26,3.04474,116.875
3.401924919,-0.205,3.06341,117.425
3.40247092,0.125,3.081725,117.975
3.401924919,0.06,3.10004,118.525
3.427354703,0.3,3.11813,119.075
3.427634697,0.95,3.144915,119.9
3.373405364,-0.095,3.172195,120.725
3.372875001,-1.185,3.19105,121.275
3.372875001,-1.105,3.20991,121.825
3.303740747,-0.34,3.229445,122.375
3.304235674,-0.1,3.24965,122.925
3.304235674,-1.29,3.26985,123.475
3.333878638,-0.645,3.289755,124.025
3.334388712,-0.135,3.30936,124.575
3.333878638,-0.895,3.328965,125.125
3.347742788,-0.175,3.34844,125.675
3.347225859,-0.005,3.367785,126.225
3.347225859,-1.075,3.387135,126.775
3.317692144,-0.725,3.406775,127.325
3.318194026,-0.145,3.4267,127.875
3.318194026,-0.36,3.44662,128.425
3.345160809,-0.31,3.466275,128.975
3.345676672,-0.1,3.48566,129.525
3.345160809,0.22,3.505045,130.075
3.385682006,-0.29,3.52405,130.625
3.386219208,0.155,3.542665,131.175
3.385682006,0.75,3.56128,131.725
3.369698715,-0.07,3.58005,132.275
3.369698715,-0.065,3.59897,132.825
3.370227396,-0.255,3.617885,133.375
3.396481247,0.125,3.63655,133.925
3.397024283,0.845,3.654965,134.475
3.397024283,0.47,3.673375,135.025
3.411247718,0.395,3.691655,135.575
3.411798834,0.825,3.7098,136.125
3.411247718,0.005,3.727945,136.675
3.421214577,0.17,3.746005,137.225
3.420658249,1.31,3.76398,137.775
3.421214577,-0.155,3.781955,138.325
3.36075364,-0.25,3.800485,138.875
3.361277612,0.575,3.81957,139.425
3.36075364,0.17,3.838655,139.975
3.345676672,-0.22,3.85789,140.525
3.345676672,-0.81,3.87727,141.075
3.345676672,-0.1,3.89665,141.625
3.347225859,0.3,3.916015,142.175
3.346709196,-0.32,3.93537,142.725
3.346709196,-0.355,3.95473,143.275
3.336942992,-0.3,3.974185,143.825
3.336942992,-0.005,3.993735,144.375
3.337454632,-0.08,4.01328,144.925
3.371285597,-0.575,4.032495,145.475
3.371285597,0.095,4.051385,146.025
3.371285597,0.795,4.070275,146.575
3.363901597,-0.175,4.089235,147.125
3.363901597,-0.135,4.108265,147.675
3.363901597,0.855,4.127295,148.225
3.349813182,0.115,4.14646,148.775
3.350331451,-0.505,4.165755,149.325
3.349813182,-0.18,4.18505,149.875
3.356050209,0.28,4.20429,150.425
3.356050209,-0.535,4.22347,150.975
3.356571721,-0.45,4.242645,151.525
3.381394754,0.99,4.26158,152.075
3.381394754,0.555,4.28028,152.625
3.381929657,0.58,4.298975,153.175
3.346192801,0.44,4.318005,153.725
3.346192801,-0.755,4.337375,154.275
3.346709196,-0.515,4.35674,154.825
3.335409641,0.145,4.37621,155.375
3.335920497,0.165,4.395785,155.925
3.335920497,-0.14,4.415355,156.475
3.34052998,-0.61,4.43488,157.025
3.341043459,-0.275,4.454355,157.575
3.34052998,0.84,4.47383,158.125
3.385145094,0.47,4.492885,158.675
3.385682006,0.195,4.51151,159.225
3.385145094,0.04,4.530135,159.775
3.310193983,-0.55,4.54949,160.325
3.309696099,-0.6,4.569575,160.875
3.310193983,-0.395,4.58966,161.425
3.33285927,0.085,4.609515,161.975
3.332349975,0.215,4.62915,162.525
3.33285927,-0.145,4.648785,163.075
3.335409641,-0.285,4.66839,163.625
3.335409641,-0.085,4.68797,164.175
3.335409641,-0.27,4.70755,164.725
3.327271244,0.28,4.72721,165.275
3.327271244,0.09,4.74695,165.825
3.327271244,-0.985,4.76669,166.375
3.29536425,-0.745,4.78675,166.925
3.295855048,-0.325,4.807125,167.475
3.29536425,-0.765,4.8275,168.025
3.304730846,-0.74,4.847785,168.575
3.304235674,0.175,4.86798,169.125
3.304730846,0.46,4.888175,169.675
3.363376249,0.045,4.90779,170.225
3.362851177,-0.095,4.926835,170.775
3.363376249,0.17,4.94588,171.325
3.339503813,0.675,4.96515,171.875
3.339503813,0.24,4.98465,172.425
3.340016765,-0.58,5.004145,172.975
3.317692144,-0.49,5.023855,173.525
3.317692144,-0.305,5.043785,174.075
3.318194026,0.035,5.06371,174.625
3.302751627,-0.295,5.083785,175.175
3.302751627,-0.595,5.104015,175.725
3.303246065,-0.185,5.12424,176.275
3.350331451,0.06,5.143995,176.825
3.349813182,0.405,5.16329,177.375
3.350331451,0.57,5.182585,177.925
3.350331451,0.42,5.201875,178.475
3.350849989,-0.105,5.22116,179.025
3.350331451,-0.32,5.240445,179.575
3.308203933,-0.775,5.26015,180.125
3.308203933,-0.82,5.28027,180.675
3.307707039,0.215,5.300395,181.225
3.339503813,0.24,5.32021,181.775
3.339503813,0.235,5.33971,182.325
3.339503813,0.21,5.35921,182.875
3.343100015,-0.115,5.378675,183.425
3.342585479,0.285,5.39811,183.975
3.343100015,-0.8,5.417545,184.525
3.217513117,-1.61,5.438275,185.075
3.217513117,-1.18,5.460305,185.625
3.217513117,-0.67,5.482335,186.175
3.243261666,-0.68,5.504085,186.725
3.243261666,-1.745,5.525555,187.275
3.243261666,-1.505,5.547025,187.825
3.317190514,-0.41,5.56773,188.375
3.316689135,0.615,5.587675,188.925
3.316689135,0.485,5.607625,189.475
3.328792157,-0.08,5.627455,190.025
3.328284929,-0.325,5.64717,190.575
3.328792157,-0.425,5.666885,191.125
3.305226263,-0.17,5.68683,191.675
3.305226263,-0.605,5.70701,192.225
3.305226263,-0.2,5.72719,192.775
3.337454632,-0.1,5.74705,193.325
3.337454632,0.305,5.76659,193.875
3.337454632,0.33,5.78613,194.425
3.374466936,0.095,5.805315,194.975
3.374466936,0.96,5.824145,195.525
3.374998144,0.015,5.84297,196.075
3.366005753,-0.345,5.861875,196.625
3.366532485,0.43,5.88086,197.175
3.366532485,0.445,5.89984,197.725
3.307210391,-0.11,5.9194,198.275
3.307707039,-0.715,5.939535,198.825
3.307210391,-0.8,5.95967,199.375
3.260645238,-1.125,5.98029,199.925
3.260645238,-1.02,6.00139,200.475
3.260171416,-0.025,6.022495,201.025
3.333878638,0.215,6.042855,201.575
3.333878638,-0.21,6.062465,202.125
3.333878638,-0.6,6.082075,202.675
3.308203933,-0.37,6.10194,203.225
3.308203933,0.275,6.12206,203.775
3.308203933,-0.515,6.14218,204.325
3.320707222,-0.36,6.162175,204.875
3.320707222,-0.065,6.182045,205.425
3.320204077,-0.72,6.20192,205.975
3.312687129,-0.61,6.221875,206.525
3.312687129,-0.34,6.241905,207.075
3.312687129,-0.325,6.261935,207.625
3.282202959,-0.955,6.282275,208.175
3.282202959,-0.48,6.302925,208.725
3.282202959,0.04,6.323575,209.275
3.287544074,-0.745,6.34417,209.825
3.287544074,-1.425,6.36471,210.375
3.287544074,-0.965,6.38525,210.925
3.258278373,-0.875,6.406095,211.475
3.258278373,-1.065,6.427245,212.025
3.258278373,-0.615,6.448395,212.575
3.348777449,0.16,6.46863,213.125
3.348259985,0.325,6.487955,213.675
3.348777449,-0.96,6.50728,214.225
3.257333193,-1.56,6.527525,214.775
3.257805671,-0.265,6.54869,215.325
